Time	GLC	G6P	F6P	FBP
106.6666667	2.496731981	2.948584876	0.13225323	0.701009564
107.3333333	2.470994832	2.903824025	0.123560941	0.748193888
108	2.475331784	2.95875862	0.126428582	0.762118348
108.6666667	2.453680388	2.928203825	0.139561913	0.76274755
109.3333333	2.452856688	2.979561739	0.125563601	0.677791713
110	2.436164422	2.951978083	0.137703603	0.760699938
110.6666667	2.437524832	2.97099261	0.136973782	0.710572082
111.3333333	2.415805656	2.959828433	0.133511605	0.670369622
112	2.398249924	2.94759607	0.121712393	0.755660093
112.6666667	2.390206789	2.960003818	0.119322909	0.757564571
113.3333333	2.379552096	2.969856817	0.123295319	0.757663603
114	2.364616042	2.984412855	0.12794088	0.805669839
114.6666667	2.350405649	2.983927987	0.130956404	0.750809931
115.3333333	2.338041868	2.993631382	0.125225534	0.759963231
116	2.325235691	3.004674675	0.139592017	0.808690923
116.6666667	2.319000167	3.003513051	0.129776834	0.797845464
117.3333333	2.275540453	2.967816801	0.128078953	0.835609865
118	2.312259696	3.020066424	0.135572838	0.869143934
118.6666667	2.273178285	3.021416995	0.130890538	0.821855045
119.3333333	2.258205507	3.003070186	0.135603862	0.878473982
120	2.231715037	2.991572166	0.133077352	0.872467947
120.6666667	2.236386005	2.992297807	0.122395454	0.84445698
121.3333333	2.224180704	3.036963287	0.135130232	0.932900653
122	2.218870959	3.031157822	0.132489111	0.910937496
122.6666667	2.227558666	3.029451338	0.138044538	0.866168555
123.3333333	2.211294514	3.046162941	0.126042883	0.882962596
124	2.225839682	3.031241041	0.111270846	0.83707943
124.6666667	2.188815507	3.033547229	0.127880036	0.935422473
125.3333333	2.155089466	3.005402476	0.131239149	0.883346423
126	2.174720976	3.02664751	0.129303741	0.944346493
126.6666667	2.181974677	3.037853453	0.135108415	0.955324611
127.3333333	2.144296921	3.040868736	0.132653129	0.926343275
128	2.112157643	3.009289301	0.125633201	0.933286885
128.6666667	2.100200665	3.018533022	0.127264215	0.99146305
129.3333333	2.102504227	3.056971115	0.130764603	1.001753617
130	2.103826072	3.060559364	0.129881453	0.997187567
130.6666667	2.090473595	3.041132213	0.134279303	1.038335604
131.3333333	2.07564819	3.034039402	0.125232585	1.032216506
132	2.05960256	3.060126146	0.132393964	1.009163105
132.6666667	2.04051165	3.053531151	0.129833668	1.00053527
133.3333333	2.061894042	3.080825718	0.135147878	1.091724283
134	2.035292509	3.064780682	0.134250649	1.018831388
134.6666667	2.025667812	3.071996478	0.136035243	1.026206207
135.3333333	2.034162125	3.089106881	0.137152465	1.082669553
136	2.008873817	3.071394636	0.134119082	1.037804993
136.6666667	2.025393503	3.105482916	0.13488444	1.095839605
137.3333333	2.002828374	3.151446888	0.14184765	1.05801815
138	1.971964724	3.084173048	0.127347973	1.120313266
138.6666667	1.949848986	3.076641965	0.129382252	1.069986787
139.3333333	1.962332155	3.095421153	0.1249748	1.033036798
140	1.947588082	3.079270506	0.1352958	1.122767707
140.6666667	1.935772399	3.094860554	0.133162825	1.096231585
141.3333333	1.943277038	3.101877293	0.131745815	1.12334316
142	1.931303062	3.102032968	0.130284815	1.14586184
142.6666667	1.930147423	3.114904045	0.127433454	1.171284972
143.3333333	1.909259357	3.093063138	0.131561659	1.112002373
144	1.904700379	3.07076815	0.131543737	1.100591215
144.6666667	1.865920467	3.052406256	0.126334326	1.16068336
145.3333333	1.887368004	3.089126895	0.126111143	1.152365322
146	1.883522038	3.141566545	0.132357219	1.21457494
146.6666667	1.86785493	3.10726369	0.127374441	1.20208872
147.3333333	1.868084422	3.118461369	0.128928917	1.216657813
148	1.824235252	3.095847165	0.12909307	1.170352012
148.6666667	1.834169267	3.166974172	0.144019561	1.242397833
149.3333333	1.810367354	3.110164793	0.129019797	1.290853485
150	1.805292368	3.135130503	0.14080922	1.212073688
150.6666667	1.779842489	3.107161094	0.133458984	1.177550477
151.3333333	1.779899734	3.145094233	0.136496131	1.279585303
152	1.7716233	3.147784008	0.151178775	1.338331519
152.6666667	1.7559776	3.121491141	0.139191064	1.238085182
153.3333333	1.742659928	3.109450594	0.132647088	1.194026107
154	1.751782604	3.119423393	0.12495672	1.237720286
154.6666667	1.743420176	3.11338265	0.119306538	1.249957496
155.3333333	1.713510306	3.10001958	0.134739266	1.224763818
156	1.696263144	3.08786467	0.121908354	1.255516401
156.6666667	1.712509148	3.114257069	0.131587978	1.345905693
157.3333333	1.728466407	3.115953557	0.131482533	1.288349925
158	1.702391163	3.131993238	0.145798206	1.322352535
158.6666667	1.683617715	3.109276926	0.132608618	1.288911668
159.3333333	1.67370172	3.112259825	0.117100406	1.340798776
160	1.684437529	3.18347982	0.139857832	1.312148368
160.6666667	1.676753236	3.162015067	0.133254982	1.315089596
161.3333333	1.678265604	3.167834518	0.130564439	1.294098037
162	1.638503631	3.124950271	0.12907308	1.410563398
162.6666667	1.626990042	3.104287315	0.133536249	1.453070477
163.3333333	1.635959618	3.121521219	0.135240859	1.384296403
164	1.628596966	3.129929737	0.136790546	1.349812621
164.6666667	1.614010884	3.099884127	0.128007245	1.397303874
165.3333333	1.595887903	3.142250761	0.143077037	1.407158327
166	1.594429125	3.129334631	0.137954221	1.355998099
166.6666667	1.577116197	3.124780235	0.139430686	1.412515528
167.3333333	1.572599505	3.132133535	0.138283401	1.414597802
168	1.561874076	3.140639241	0.142328991	1.46686146
168.6666667	1.559583056	3.130545837	0.134845985	1.448375486
169.3333333	1.557274155	3.140378343	0.135612653	1.422804793
170	1.543796486	3.14593821	0.138709829	1.439875501
170.6666667	1.540428545	3.14511547	0.13254555	1.537961464
171.3333333	1.532551782	3.162035461	0.135055748	1.458203949
172	1.535846913	3.146005319	0.143411808	1.492363067
172.6666667	1.511502375	3.145556182	0.136276418	1.483304691
173.3333333	1.510475695	3.125231156	0.130885244	1.46027481
174	1.478518787	3.119628358	0.127973282	1.488818334
174.6666667	1.480798497	3.101789678	0.125711582	1.472827469
175.3333333	1.449187345	3.105795739	0.135950423	1.470999754
176	1.473536166	3.110806928	0.126520376	1.518101751
176.6666667	1.46468608	3.146213082	0.123716443	1.52837412
177.3333333	1.454531259	3.140367489	0.123234394	1.532423431
178	1.435043494	3.11411063	0.131946699	1.519309059
178.6666667	1.4314998	3.111622437	0.122770674	1.568056185
179.3333333	1.408831742	3.125048599	0.132721054	1.551930076
180	1.392722779	3.108154604	0.135643748	1.590026687
180.6666667	1.408152619	3.099413912	0.128514474	1.572547974
181.3333333	1.400686809	3.129632619	0.12798274	1.595056593
182	1.380796398	3.145950903	0.141488342	1.622081224
182.6666667	1.377141907	3.150744292	0.135784361	1.595153866
183.3333333	1.365391539	3.154946181	0.133086961	1.681927807
184	1.386928271	3.146007717	0.102657002	1.547233408
184.6666667	1.357108824	3.133929232	0.126695699	1.627529545
185.3333333	1.354114559	3.134848537	0.136238282	1.68874026
186	1.343402643	3.119556169	0.119017339	1.596373572
186.6666667	1.329200601	3.080900161	0.120452048	1.579424657
187.3333333	1.320898101	3.120632582	0.139845237	1.646280967
188	1.322317679	3.106825548	0.13477814	1.631555572
188.6666667	1.315487961	3.136103166	0.128826489	1.702874782
189.3333333	1.296499624	3.131248938	0.133089011	1.696023254
190	1.300973983	3.132001763	0.129636655	1.645578866
190.6666667	1.293672355	3.157297011	0.137490498	1.762370789
191.3333333	1.292870759	3.161115634	0.129136704	1.741832936
192	1.273004504	3.143756943	0.142255672	1.717453259
192.6666667	1.272980632	3.146033398	0.135312907	1.740438798
193.3333333	1.273221062	3.153487257	0.124209251	1.730348675
194	1.25602135	3.143122342	0.12794272	1.822327565
194.6666667	1.239985603	3.132789569	0.131307459	1.721817054
195.3333333	1.242140818	3.162173529	0.135990041	1.668891435
196	1.227137379	3.138941396	0.13759616	1.805111005
196.6666667	1.224070037	3.138966349	0.126542405	1.739242097
197.3333333	1.218631459	3.127641938	0.117396965	1.700333397
198	1.210973061	3.152092847	0.131841178	1.75099846
